_id	infinitif	participePasse	participePresent	auxiliaire	formePronominale	present_1	present_2	present_3	present_4	present_5	present_6	imparfait_1	imparfait_2	imparfait_3	imparfait_4	imparfait_5	imparfait_6	passeSimple_1	passeSimple_2	passeSimple_3	passeSimple_4	passeSimple_5	passeSimple_6	futurSimple_1	futurSimple_2	futurSimple_3	futurSimple_4	futurSimple_5	futurSimple_6	passeCompose_1	passeCompose_2	passeCompose_3	passeCompose_4	passeCompose_5	passeCompose_6	plusQueParfait_1	plusQueParfait_2	plusQueParfait_3	plusQueParfait_4	plusQueParfait_5	plusQueParfait_6	passeAnterieur_1	passeAnterieur_2	passeAnterieur_3	passeAnterieur_4	passeAnterieur_5	passeAnterieur_6	futurAnterieur_1	futurAnterieur_2	futurAnterieur_3	futurAnterieur_4	futurAnterieur_5	futurAnterieur_6	subjonctifPresent_1	subjonctifPresent_2	subjonctifPresent_3	subjonctifPresent_4	subjonctifPresent_5	subjonctifPresent_6	subjonctifImparfait_1	subjonctifImparfait_2	subjonctifImparfait_3	subjonctifImparfait_4	subjonctifImparfait_5	subjonctifImparfait_6	subjonctifPasse_1	subjonctifPasse_2	subjonctifPasse_3	subjonctifPasse_4	subjonctifPasse_5	subjonctifPasse_6	subjonctifPlusQueParfait_1	subjonctifPlusQueParfait_2	subjonctifPlusQueParfait_3	subjonctifPlusQueParfait_4	subjonctifPlusQueParfait_5	subjonctifPlusQueParfait_6	conditionnelPresent_1	conditionnelPresent_2	conditionnelPresent_3	conditionnelPresent_4	conditionnelPresent_5	conditionnelPresent_6	conditionnelPasse_1	conditionnelPasse_2	conditionnelPasse_3	conditionnelPasse_4	conditionnelPasse_5	conditionnelPasse_6	conditionnelPasseII_1	conditionnelPasseII_2	conditionnelPasseII_3	conditionnelPasseII_4	conditionnelPasseII_5	conditionnelPasseII_6	imperatifPasse_1	imperatifPasse_2	imperatifPasse_3	imperatifPasse_4	imperatifPasse_5	imperatifPasse_6
162	s'inscrire		s'inscrivant	être																																																																																																	
163	s'intéresser	intéressé	s'intéressant	être		m'intéresse	t'intéresses	s'intéresse	nous intéressons	vous intéressez	s'intéressent	m'intéressais	t'intéressais	s'intéressait	nous intéressions	vous intéressiez	s'intéressaient	m'intéressai	t'intéressas	s'intéressa	nous intéressâmes	vous intéressâtes	s'intéressèrent	m'intéresserai	t'intéresseras	s'intéressera	nous intéresserons	vous intéresserez	s'intéresseront	me suis intéressé(e)	t'es intéressé(e)	s'est intéressé(e)	nous sommes intéressé(e)s	vous êtes intéressé(e)(s)	se sont intéressé(e)s	m'étais intéressé(e)	t'étais intéressé(e)	s'était intéressé(e)	nous étions intéressé(e)s	vous étiez intéressé(e)(s)	s'étaient intéressé(e)s	me fus intéressé(e)	te fus intéressé(e)	se fut intéressé(e)	nous fûmes intéressé(e)s	vous fûtes intéressé(e)(s)	se furent intéressé(e)s	me serai intéressé(e)	te seras intéressé(e)	se sera intéressé(e)	nous serons intéressé(e)s	vous serez intéressé(e)(s)	se seront intéressé(e)s	m'intéresse	t'intéresses	s'intéresse	nous intéressions	vous intéressiez	s'intéressent	m'intéressasse	t'intéressasses	s'intéressât	nous intéressassions	vous intéressassiez	s'intéressassent	me sois intéressé(e)	te sois intéressé(e)	se soit intéressé(e)	nous soyons intéressé(e)s	vous soyez intéressé(e)(s)	se soient intéressé(e)s	me fusse intéressé(e)	te fusses intéressé(e)	se fût intéressé(e)	nous fussions intéressé(e)s	vous fussiez intéressé(e)(s)	se fussent intéressé(e)s	m'intéresserais	t'intéresserais	s'intéresserait	nous intéresserions	vous intéresseriez	s'intéresseraient	me serais intéressé(e)	te serais intéressé(e)	se serait intéressé(e)	nous serions intéressé(e)s	vous seriez intéressé(e)(s)	se seraient intéressé(e)s	me fusse intéressé(e)	te fusses intéressé(e)	se fût intéressé(e)	nous fussions intéressé(e)s	vous fussiez intéressé(e)(s)	se fussent intéressé(e)s						
164	s'occuper	occupé	s'occupant	être		m'occupe	t'occupes	s'occupe	nous occupons	vous occupez	s'occupent	m'occupais	t'occupais	s'occupait	nous occupions	vous occupiez	s'occupaient	m'occupai	t'occupas	s'occupa	nous occupâmes	vous occupâtes	s'occupèrent	m'occuperai	t'occuperas	s'occupera	nous occuperons	vous occuperez	s'occuperont	me suis occupé(e)	t'es occupé(e)	s'est occupé(e)	nous sommes occupé(e)s	vous êtes occupé(e)(s)	se sont occupé(e)s	m'étais occupé(e)	t'étais occupé(e)	s'était occupé(e)	nous étions occupé(e)s	vous étiez occupé(e)(s)	s'étaient occupé(e)s	me fus occupé(e)	te fus occupé(e)	se fut occupé(e)	nous fûmes occupé(e)s	vous fûtes occupé(e)(s)	se furent occupé(e)s	me serai occupé(e)	te seras occupé(e)	se sera occupé(e)	nous serons occupé(e)s	vous serez occupé(e)(s)	se seront occupé(e)s	m'occupe	t'occupes	s'occupe	nous occupions	vous occupiez	s'occupent	m'occupasse	t'occupasses	s'occupât	nous occupassions	vous occupassiez	s'occupassent	me sois occupé(e)	te sois occupé(e)	se soit occupé(e)	nous soyons occupé(e)s	vous soyez occupé(e)(s)	se soient occupé(e)s	me fusse occupé(e)	te fusses occupé(e)	se fût occupé(e)	nous fussions occupé(e)s	vous fussiez occupé(e)(s)	se fussent occupé(e)s	m'occuperais	t'occuperais	s'occuperait	nous occuperions	vous occuperiez	s'occuperaient	me serais occupé(e)	te serais occupé(e)	se serait occupé(e)	nous serions occupé(e)s	vous seriez occupé(e)(s)	se seraient occupé(e)s	me fusse occupé(e)	te fusses occupé(e)	se fût occupé(e)	nous fussions occupé(e)s	vous fussiez occupé(e)(s)	se fussent occupé(e)s						
165	savoir	su	sachant	avoir	se savoir	sais	sais	sait	savons	savez	savent	savais	savais	savait	savions	saviez	savaient	sus	sus	sut	sûmes	sûtes	surent	saurai	sauras	saura	saurons	saurez	sauront	ai su	as su	a su	avons su	avez su	ont su	avais su	avais su	avait su	avions su	aviez su	avaient su	eus su	eus su	eut su	eûmes su	eûtes su	eurent su	aurai su	auras su	aura su	aurons su	aurez su	auront su	sache	saches	sache	sachions	sachiez	sachent	susse	susses	sût	sussions	sussiez	sussent	aie su	aies su	ait su	ayons su	ayez su	aient su	eusse su	eusses su	eût su	eussions su	eussiez su	eussent su	saurais	saurais	saurait	saurions	sauriez	sauraient	aurais su	aurais su	aurait su	aurions su	auriez su	auraient su	eusse su	eusses su	eût su	eussions su	eussiez su	eussent su		aie su !		ayons su !	ayez su !	
166	scanner		scannant	être																																																																																																	
167	se coucher	couché	se couchant	être		me couche	te couches	se couche	nous couchons	vous couchez	se couchent	me couchais	te couchais	se couchait	nous couchions	vous couchiez	se couchaient	me couchai	te couchas	se coucha	nous couchâmes	vous couchâtes	se couchèrent	me coucherai	te coucheras	se couchera	nous coucherons	vous coucherez	se coucheront	me suis couché(e)	t'es couché(e)	s'est couché(e)	nous sommes couché(e)s	vous êtes couché(e)(s)	se sont couché(e)s	m'étais couché(e)	t'étais couché(e)	s'était couché(e)	nous étions couché(e)s	vous étiez couché(e)(s)	s'étaient couché(e)s	me fus couché(e)	te fus couché(e)	se fut couché(e)	nous fûmes couché(e)s	vous fûtes couché(e)(s)	se furent couché(e)s	me serai couché(e)	te seras couché(e)	se sera couché(e)	nous serons couché(e)s	vous serez couché(e)(s)	se seront couché(e)s	me couche	te couches	se couche	nous couchions	vous couchiez	se couchent	me couchasse	te couchasses	se couchât	nous couchassions	vous couchassiez	se couchassent	me sois couché(e)	te sois couché(e)	se soit couché(e)	nous soyons couché(e)s	vous soyez couché(e)(s)	se soient couché(e)s	me fusse couché(e)	te fusses couché(e)	se fût couché(e)	nous fussions couché(e)s	vous fussiez couché(e)(s)	se fussent couché(e)s	me coucherais	te coucherais	se coucherait	nous coucherions	vous coucheriez	se coucheraient	me serais couché(e)	te serais couché(e)	se serait couché(e)	nous serions couché(e)s	vous seriez couché(e)(s)	se seraient couché(e)s	me fusse couché(e)	te fusses couché(e)	se fût couché(e)	nous fussions couché(e)s	vous fussiez couché(e)(s)	se fussent couché(e)s						
168	se doucher		se douchant	être																																																																																																	
169	se lever	levé	se levant	être		me lève	te lèves	se lève	nous levons	vous levez	se lèvent	me levais	te levais	se levait	nous levions	vous leviez	se levaient	me levai	te levas	se leva	nous levâmes	vous levâtes	se levèrent	me lèverai	te lèveras	se lèvera	nous lèverons	vous lèverez	se lèveront	me suis levé(e)	t'es levé(e)	s'est levé(e)	nous sommes levé(e)s	vous êtes levé(e)(s)	se sont levé(e)s	m'étais levé(e)	t'étais levé(e)	s'était levé(e)	nous étions levé(e)s	vous étiez levé(e)(s)	s'étaient levé(e)s	me fus levé(e)	te fus levé(e)	se fut levé(e)	nous fûmes levé(e)s	vous fûtes levé(e)(s)	se furent levé(e)s	me serai levé(e)	te seras levé(e)	se sera levé(e)	nous serons levé(e)s	vous serez levé(e)(s)	se seront levé(e)s	me lève	te lèves	se lève	nous levions	vous leviez	se lèvent	me levasse	te levasses	se levât	nous levassions	vous levassiez	se levassent	me sois levé(e)	te sois levé(e)	se soit levé(e)	nous soyons levé(e)s	vous soyez levé(e)(s)	se soient levé(e)s	me fusse levé(e)	te fusses levé(e)	se fût levé(e)	nous fussions levé(e)s	vous fussiez levé(e)(s)	se fussent levé(e)s	me lèverais	te lèverais	se lèverait	nous lèverions	vous lèveriez	se lèveraient	me serais levé(e)	te serais levé(e)	se serait levé(e)	nous serions levé(e)s	vous seriez levé(e)(s)	se seraient levé(e)s	me fusse levé(e)	te fusses levé(e)	se fût levé(e)	nous fussions levé(e)s	vous fussiez levé(e)(s)	se fussent levé(e)s						
170	se maquiller		se maquillant	être																																																																																																	
171	se plaindre	plaint	se plaignant	être		me plains	te plains	se plaint	nous plaignons	vous plaignez	se plaignent	me plaignais	te plaignais	se plaignait	nous plaignions	vous plaigniez	se plaignaient	me plaignis	te plaignis	se plaignit	nous plaignîmes	vous plaignîtes	se plaignirent	me plaindrai	te plaindras	se plaindra	nous plaindrons	vous plaindrez	se plaindront	me suis plaint(e)	t'es plaint(e)	s'est plaint(e)	nous sommes plaint(e)s	vous êtes plaint(e)(s)	se sont plaint(e)s	m'étais plaint(e)	t'étais plaint(e)	s'était plaint(e)	nous étions plaint(e)s	vous étiez plaint(e)(s)	s'étaient plaint(e)s	me fus plaint(e)	te fus plaint(e)	se fut plaint(e)	nous fûmes plaint(e)s	vous fûtes plaint(e)(s)	se furent plaint(e)s	me serai plaint(e)	te seras plaint(e)	se sera plaint(e)	nous serons plaint(e)s	vous serez plaint(e)(s)	se seront plaint(e)s	me plaigne	te plaignes	se plaigne	nous plaignions	vous plaigniez	se plaignent	me plaignisse	te plaignisses	se plaignît	nous plaignissions	vous plaignissiez	se plaignissent	me sois plaint(e)	te sois plaint(e)	se soit plaint(e)	nous soyons plaint(e)s	vous soyez plaint(e)(s)	se soient plaint(e)s	me fusse plaint(e)	te fusses plaint(e)	se fût plaint(e)	nous fussions plaint(e)s	vous fussiez plaint(e)(s)	se fussent plaint(e)s	me plaindrais	te plaindrais	se plaindrait	nous plaindrions	vous plaindriez	se plaindraient	me serais plaint(e)	te serais plaint(e)	se serait plaint(e)	nous serions plaint(e)s	vous seriez plaint(e)(s)	se seraient plaint(e)s	me fusse plaint(e)	te fusses plaint(e)	se fût plaint(e)	nous fussions plaint(e)s	vous fussiez plaint(e)(s)	se fussent plaint(e)s						
172	se préparer	préparé	se préparant	être		me prépare	te prépares	se prépare	nous préparons	vous préparez	se préparent	me préparais	te préparais	se préparait	nous préparions	vous prépariez	se préparaient	me préparai	te préparas	se prépara	nous préparâmes	vous préparâtes	se préparèrent	me préparerai	te prépareras	se préparera	nous préparerons	vous préparerez	se prépareront	me suis préparé(e)	t'es préparé(e)	s'est préparé(e)	nous sommes préparé(e)s	vous êtes préparé(e)(s)	se sont préparé(e)s	m'étais préparé(e)	t'étais préparé(e)	s'était préparé(e)	nous étions préparé(e)s	vous étiez préparé(e)(s)	s'étaient préparé(e)s	me fus préparé(e)	te fus préparé(e)	se fut préparé(e)	nous fûmes préparé(e)s	vous fûtes préparé(e)(s)	se furent préparé(e)s	me serai préparé(e)	te seras préparé(e)	se sera préparé(e)	nous serons préparé(e)s	vous serez préparé(e)(s)	se seront préparé(e)s	me prépare	te prépares	se prépare	nous préparions	vous prépariez	se préparent	me préparasse	te préparasses	se préparât	nous préparassions	vous préparassiez	se préparassent	me sois préparé(e)	te sois préparé(e)	se soit préparé(e)	nous soyons préparé(e)s	vous soyez préparé(e)(s)	se soient préparé(e)s	me fusse préparé(e)	te fusses préparé(e)	se fût préparé(e)	nous fussions préparé(e)s	vous fussiez préparé(e)(s)	se fussent préparé(e)s	me préparerais	te préparerais	se préparerait	nous préparerions	vous prépareriez	se prépareraient	me serais préparé(e)	te serais préparé(e)	se serait préparé(e)	nous serions préparé(e)s	vous seriez préparé(e)(s)	se seraient préparé(e)s	me fusse préparé(e)	te fusses préparé(e)	se fût préparé(e)	nous fussions préparé(e)s	vous fussiez préparé(e)(s)	se fussent préparé(e)s						
173	se promener	promené	se promenant	être		me promène	te promènes	se promène	nous promenons	vous promenez	se promènent	me promenais	te promenais	se promenait	nous promenions	vous promeniez	se promenaient	me promenai	te promenas	se promena	nous promenâmes	vous promenâtes	se promenèrent	me promènerai	te promèneras	se promènera	nous promènerons	vous promènerez	se promèneront	me suis promené(e)	t'es promené(e)	s'est promené(e)	nous sommes promené(e)s	vous êtes promené(e)(s)	se sont promené(e)s	m'étais promené(e)	t'étais promené(e)	s'était promené(e)	nous étions promené(e)s	vous étiez promené(e)(s)	s'étaient promené(e)s	me fus promené(e)	te fus promené(e)	se fut promené(e)	nous fûmes promené(e)s	vous fûtes promené(e)(s)	se furent promené(e)s	me serai promené(e)	te seras promené(e)	se sera promené(e)	nous serons promené(e)s	vous serez promené(e)(s)	se seront promené(e)s	me promène	te promènes	se promène	nous promenions	vous promeniez	se promènent	me promenasse	te promenasses	se promenât	nous promenassions	vous promenassiez	se promenassent	me sois promené(e)	te sois promené(e)	se soit promené(e)	nous soyons promené(e)s	vous soyez promené(e)(s)	se soient promené(e)s	me fusse promené(e)	te fusses promené(e)	se fût promené(e)	nous fussions promené(e)s	vous fussiez promené(e)(s)	se fussent promené(e)s	me promènerais	te promènerais	se promènerait	nous promènerions	vous promèneriez	se promèneraient	me serais promené(e)	te serais promené(e)	se serait promené(e)	nous serions promené(e)s	vous seriez promené(e)(s)	se seraient promené(e)s	me fusse promené(e)	te fusses promené(e)	se fût promené(e)	nous fussions promené(e)s	vous fussiez promené(e)(s)	se fussent promené(e)s						
174	se reposer	reposé	se reposant	être		me repose	te reposes	se repose	nous reposons	vous reposez	se reposent	me reposais	te reposais	se reposait	nous reposions	vous reposiez	se reposaient	me reposai	te reposas	se reposa	nous reposâmes	vous reposâtes	se reposèrent	me reposerai	te reposeras	se reposera	nous reposerons	vous reposerez	se reposeront	me suis reposé(e)	t'es reposé(e)	s'est reposé(e)	nous sommes reposé(e)s	vous êtes reposé(e)(s)	se sont reposé(e)s	m'étais reposé(e)	t'étais reposé(e)	s'était reposé(e)	nous étions reposé(e)s	vous étiez reposé(e)(s)	s'étaient reposé(e)s	me fus reposé(e)	te fus reposé(e)	se fut reposé(e)	nous fûmes reposé(e)s	vous fûtes reposé(e)(s)	se furent reposé(e)s	me serai reposé(e)	te seras reposé(e)	se sera reposé(e)	nous serons reposé(e)s	vous serez reposé(e)(s)	se seront reposé(e)s	me repose	te reposes	se repose	nous reposions	vous reposiez	se reposent	me reposasse	te reposasses	se reposât	nous reposassions	vous reposassiez	se reposassent	me sois reposé(e)	te sois reposé(e)	se soit reposé(e)	nous soyons reposé(e)s	vous soyez reposé(e)(s)	se soient reposé(e)s	me fusse reposé(e)	te fusses reposé(e)	se fût reposé(e)	nous fussions reposé(e)s	vous fussiez reposé(e)(s)	se fussent reposé(e)s	me reposerais	te reposerais	se reposerait	nous reposerions	vous reposeriez	se reposeraient	me serais reposé(e)	te serais reposé(e)	se serait reposé(e)	nous serions reposé(e)s	vous seriez reposé(e)(s)	se seraient reposé(e)s	me fusse reposé(e)	te fusses reposé(e)	se fût reposé(e)	nous fussions reposé(e)s	vous fussiez reposé(e)(s)	se fussent reposé(e)s						
175	se réveiller	réveillé	se réveillant	être		me réveille	te réveilles	se réveille	nous réveillons	vous réveillez	se réveillent	me réveillais	te réveillais	se réveillait	nous réveillions	vous réveilliez	se réveillaient	me réveillai	te réveillas	se réveilla	nous réveillâmes	vous réveillâtes	se réveillèrent	me réveillerai	te réveilleras	se réveillera	nous réveillerons	vous réveillerez	se réveilleront	me suis réveillé(e)	t'es réveillé(e)	s'est réveillé(e)	nous sommes réveillé(e)s	vous êtes réveillé(e)(s)	se sont réveillé(e)s	m'étais réveillé(e)	t'étais réveillé(e)	s'était réveillé(e)	nous étions réveillé(e)s	vous étiez réveillé(e)(s)	s'étaient réveillé(e)s	me fus réveillé(e)	te fus réveillé(e)	se fut réveillé(e)	nous fûmes réveillé(e)s	vous fûtes réveillé(e)(s)	se furent réveillé(e)s	me serai réveillé(e)	te seras réveillé(e)	se sera réveillé(e)	nous serons réveillé(e)s	vous serez réveillé(e)(s)	se seront réveillé(e)s	me réveille	te réveilles	se réveille	nous réveillions	vous réveilliez	se réveillent	me réveillasse	te réveillasses	se réveillât	nous réveillassions	vous réveillassiez	se réveillassent	me sois réveillé(e)	te sois réveillé(e)	se soit réveillé(e)	nous soyons réveillé(e)s	vous soyez réveillé(e)(s)	se soient réveillé(e)s	me fusse réveillé(e)	te fusses réveillé(e)	se fût réveillé(e)	nous fussions réveillé(e)s	vous fussiez réveillé(e)(s)	se fussent réveillé(e)s	me réveillerais	te réveillerais	se réveillerait	nous réveillerions	vous réveilleriez	se réveilleraient	me serais réveillé(e)	te serais réveillé(e)	se serait réveillé(e)	nous serions réveillé(e)s	vous seriez réveillé(e)(s)	se seraient réveillé(e)s	me fusse réveillé(e)	te fusses réveillé(e)	se fût réveillé(e)	nous fussions réveillé(e)s	vous fussiez réveillé(e)(s)	se fussent réveillé(e)s						
176	se sentir	senti	se sentant	être		me sens	te sens	se sent	nous sentons	vous sentez	se sentent	me sentais	te sentais	se sentait	nous sentions	vous sentiez	se sentaient	me sentis	te sentis	se sentit	nous sentîmes	vous sentîtes	se sentirent	me sentirai	te sentiras	se sentira	nous sentirons	vous sentirez	se sentiront	me suis senti(e)	t'es senti(e)	s'est senti(e)	nous sommes senti(e)s	vous êtes senti(e)(s)	se sont senti(e)s	m'étais senti(e)	t'étais senti(e)	s'était senti(e)	nous étions senti(e)s	vous étiez senti(e)(s)	s'étaient senti(e)s	me fus senti(e)	te fus senti(e)	se fut senti(e)	nous fûmes senti(e)s	vous fûtes senti(e)(s)	se furent senti(e)s	me serai senti(e)	te seras senti(e)	se sera senti(e)	nous serons senti(e)s	vous serez senti(e)(s)	se seront senti(e)s	me sente	te sentes	se sente	nous sentions	vous sentiez	se sentent	me sentisse	te sentisses	se sentît	nous sentissions	vous sentissiez	se sentissent	me sois senti(e)	te sois senti(e)	se soit senti(e)	nous soyons senti(e)s	vous soyez senti(e)(s)	se soient senti(e)s	me fusse senti(e)	te fusses senti(e)	se fût senti(e)	nous fussions senti(e)s	vous fussiez senti(e)(s)	se fussent senti(e)s	me sentirais	te sentirais	se sentirait	nous sentirions	vous sentiriez	se sentiraient	me serais senti(e)	te serais senti(e)	se serait senti(e)	nous serions senti(e)s	vous seriez senti(e)(s)	se seraient senti(e)s	me fusse senti(e)	te fusses senti(e)	se fût senti(e)	nous fussions senti(e)s	vous fussiez senti(e)(s)	se fussent senti(e)s						
177	se souvenir	souvenu	se souvenant	être		me souviens	te souviens	se souvient	nous souvenons	vous souvenez	se souviennent	me souvenais	te souvenais	se souvenait	nous souvenions	vous souveniez	se souvenaient	me souvins	te souvins	se souvint	nous souvînmes	vous souvîntes	se souvinrent	me souviendrai	te souviendras	se souviendra	nous souviendrons	vous souviendrez	se souviendront	me suis souvenu(e)	t'es souvenu(e)	s'est souvenu(e)	nous sommes souvenu(e)s	vous êtes souvenu(e)(s)	se sont souvenu(e)s	m'étais souvenu(e)	t'étais souvenu(e)	s'était souvenu(e)	nous étions souvenu(e)s	vous étiez souvenu(e)(s)	s'étaient souvenu(e)s	me fus souvenu(e)	te fus souvenu(e)	se fut souvenu(e)	nous fûmes souvenu(e)s	vous fûtes souvenu(e)(s)	se furent souvenu(e)s	me serai souvenu(e)	te seras souvenu(e)	se sera souvenu(e)	nous serons souvenu(e)s	vous serez souvenu(e)(s)	se seront souvenu(e)s	me souvienne	te souviennes	se souvienne	nous souvenions	vous souveniez	se souviennent	me souvinsse	te souvinsses	se souvînt	nous souvinssions	vous souvinssiez	se souvinssent	me sois souvenu(e)	te sois souvenu(e)	se soit souvenu(e)	nous soyons souvenu(e)s	vous soyez souvenu(e)(s)	se soient souvenu(e)s	me fusse souvenu(e)	te fusses souvenu(e)	se fût souvenu(e)	nous fussions souvenu(e)s	vous fussiez souvenu(e)(s)	se fussent souvenu(e)s	me souviendrais	te souviendrais	se souviendrait	nous souviendrions	vous souviendriez	se souviendraient	me serais souvenu(e)	te serais souvenu(e)	se serait souvenu(e)	nous serions souvenu(e)s	vous seriez souvenu(e)(s)	se seraient souvenu(e)s	me fusse souvenu(e)	te fusses souvenu(e)	se fût souvenu(e)	nous fussions souvenu(e)s	vous fussiez souvenu(e)(s)	se fussent souvenu(e)s						
178	sentir	senti	sentant	avoir	se sentir	sens	sens	sent	sentons	sentez	sentent	sentais	sentais	sentait	sentions	sentiez	sentaient	sentis	sentis	sentit	sentîmes	sentîtes	sentirent	sentirai	sentiras	sentira	sentirons	sentirez	sentiront	ai senti	as senti	a senti	avons senti	avez senti	ont senti	avais senti	avais senti	avait senti	avions senti	aviez senti	avaient senti	eus senti	eus senti	eut senti	eûmes senti	eûtes senti	eurent senti	aurai senti	auras senti	aura senti	aurons senti	aurez senti	auront senti	sente	sentes	sente	sentions	sentiez	sentent	sentisse	sentisses	sentît	sentissions	sentissiez	sentissent	aie senti	aies senti	ait senti	ayons senti	ayez senti	aient senti	eusse senti	eusses senti	eût senti	eussions senti	eussiez senti	eussent senti	sentirais	sentirais	sentirait	sentirions	sentiriez	sentiraient	aurais senti	aurais senti	aurait senti	aurions senti	auriez senti	auraient senti	eusse senti	eusses senti	eût senti	eussions senti	eussiez senti	eussent senti		aie senti !		ayons senti !	ayez senti !	
179	servir	servi	servant	avoir	se servir	sers	sers	sert	servons	servez	servent	servais	servais	servait	servions	serviez	servaient	servis	servis	servit	servîmes	servîtes	servirent	servirai	serviras	servira	servirons	servirez	serviront	ai servi	as servi	a servi	avons servi	avez servi	ont servi	avais servi	avais servi	avait servi	avions servi	aviez servi	avaient servi	eus servi	eus servi	eut servi	eûmes servi	eûtes servi	eurent servi	aurai servi	auras servi	aura servi	aurons servi	aurez servi	auront servi	serve	serves	serve	servions	serviez	servent	servisse	servisses	servît	servissions	servissiez	servissent	aie servi	aies servi	ait servi	ayons servi	ayez servi	aient servi	eusse servi	eusses servi	eût servi	eussions servi	eussiez servi	eussent servi	servirais	servirais	servirait	servirions	serviriez	serviraient	aurais servi	aurais servi	aurait servi	aurions servi	auriez servi	auraient servi	eusse servi	eusses servi	eût servi	eussions servi	eussiez servi	eussent servi		aie servi !		ayons servi !	ayez servi !	
180	sortir	sorti	sortant	être	se sortir	sors	sors	sort	sortons	sortez	sortent	sortais	sortais	sortait	sortions	sortiez	sortaient	sortis	sortis	sortit	sortîmes	sortîtes	sortirent	sortirai	sortiras	sortira	sortirons	sortirez	sortiront	suis sorti(e)	es sorti(e)	est sorti(e)	sommes sorti(e)s	êtes sorti(e)(s)	sont sorti(e)s	étais sorti(e)	étais sorti(e)	était sorti(e)	étions sorti(e)s	étiez sorti(e)(s)	étaient sorti(e)s	fus sorti(e)	fus sorti(e)	fut sorti(e)	fûmes sorti(e)s	fûtes sorti(e)(s)	furent sorti(e)s	serai sorti(e)	seras sorti(e)	sera sorti(e)	serons sorti(e)s	serez sorti(e)(s)	seront sorti(e)s	sorte	sortes	sorte	sortions	sortiez	sortent	sortisse	sortisses	sortît	sortissions	sortissiez	sortissent	sois sorti(e)	sois sorti(e)	soit sorti(e)	soyons sorti(e)s	soyez sorti(e)(s)	soient sorti(e)s	fusse sorti(e)	fusses sorti(e)	fût sorti(e)	fussions sorti(e)s	fussiez sorti(e)(s)	fussent sorti(e)s	sortirais	sortirais	sortirait	sortirions	sortiriez	sortiraient	serais sorti(e)	serais sorti(e)	serait sorti(e)	serions sorti(e)s	seriez sorti(e)(s)	seraient sorti(e)s	fusse sorti(e)	fusses sorti(e)	fût sorti(e)	fussions sorti(e)s	fussiez sorti(e)(s)	fussent sorti(e)s		sois sorti(e) !		soyons sorti(e)s !	soyez sorti(e)(s) !	
181	souhaiter	souhaité	souhaitant	avoir	se souhaiter	souhaite	souhaites	souhaite	souhaitons	souhaitez	souhaitent	souhaitais	souhaitais	souhaitait	souhaitions	souhaitiez	souhaitaient	souhaitai	souhaitas	souhaita	souhaitâmes	souhaitâtes	souhaitèrent	souhaiterai	souhaiteras	souhaitera	souhaiterons	souhaiterez	souhaiteront	ai souhaité	as souhaité	a souhaité	avons souhaité	avez souhaité	ont souhaité	avais souhaité	avais souhaité	avait souhaité	avions souhaité	aviez souhaité	avaient souhaité	eus souhaité	eus souhaité	eut souhaité	eûmes souhaité	eûtes souhaité	eurent souhaité	aurai souhaité	auras souhaité	aura souhaité	aurons souhaité	aurez souhaité	auront souhaité	souhaite	souhaites	souhaite	souhaitions	souhaitiez	souhaitent	souhaitasse	souhaitasses	souhaitât	souhaitassions	souhaitassiez	souhaitassent	aie souhaité	aies souhaité	ait souhaité	ayons souhaité	ayez souhaité	aient souhaité	eusse souhaité	eusses souhaité	eût souhaité	eussions souhaité	eussiez souhaité	eussent souhaité	souhaiterais	souhaiterais	souhaiterait	souhaiterions	souhaiteriez	souhaiteraient	aurais souhaité	aurais souhaité	aurait souhaité	aurions souhaité	auriez souhaité	auraient souhaité	eusse souhaité	eusses souhaité	eût souhaité	eussions souhaité	eussiez souhaité	eussent souhaité		aie souhaité !		ayons souhaité !	ayez souhaité !	
182	télécharger	téléchargé	téléchargant	avoir		télécharge	télécharges	télécharge	téléchargons	téléchargez	téléchargent	téléchargais	téléchargais	téléchargait	téléchargions	téléchargiez	téléchargaient	téléchargai	téléchargas	télécharga	téléchargeâmes	téléchargeâtes	téléchargèrent	téléchargerai	téléchargeras	téléchargera	téléchargerons	téléchargerez	téléchargeront	ai téléchargé	as téléchargé	a téléchargé	avons téléchargé	avez téléchargé	ont téléchargé	avais téléchargé	avais téléchargé	avait téléchargé	avions téléchargé	aviez téléchargé	avaient téléchargé	eus téléchargé	eus téléchargé	eut téléchargé	eûmes téléchargé	eûtes téléchargé	eurent téléchargé	aurai téléchargé	auras téléchargé	aura téléchargé	aurons téléchargé	aurez téléchargé	auront téléchargé	télécharge	télécharges	télécharge	téléchargions	téléchargiez	téléchargent							aie téléchargé	aies téléchargé	ait téléchargé	ayons téléchargé	ayez téléchargé	aient téléchargé	eusse téléchargé	eusses téléchargé	eût téléchargé	eussions téléchargé	eussiez téléchargé	eussent téléchargé	téléchargerais	téléchargerais	téléchargerait	téléchargerions	téléchargeriez	téléchargeraient	aurais téléchargé	aurais téléchargé	aurait téléchargé	aurions téléchargé	auriez téléchargé	auraient téléchargé	eusse téléchargé	eusses téléchargé	eût téléchargé	eussions téléchargé	eussiez téléchargé	eussent téléchargé						
